gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Syne2,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,10
Slc7a2,8,NULL,NULL,15,16,11,NULL,NULL,8,12,16,NULL
Sord,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,15,12,NULL,NULL
Picalm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Pkn2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Plscr1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Psmd13,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,7,NULL,NULL
Pvrl3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Ramp3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Mafk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL
Med12,NULL,6,8,NULL,9,NULL,10,NULL,23,7,NULL,NULL
Urod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,11,NULL,NULL
Nfyc,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nolc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL
Rfc4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,17,NULL,NULL
Sfxn1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,0,NULL
Eif2b5,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Enpep,NULL,3,0,NULL,NULL,3,NULL,NULL,17,NULL,1,0
Arid1a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Gpam,8,8,8,NULL,NULL,NULL,8,NULL,19,NULL,9,NULL
Hdgf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,18,12,NULL,NULL
Fkbp1b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Flcn,NULL,8,10,NULL,NULL,NULL,NULL,NULL,6,11,NULL,NULL
Flot2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Fstl3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Fubp1,NULL,19,19,NULL,22,NULL,21,20,NULL,NULL,NULL,NULL
Gcgr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Cstf2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,18,NULL,NULL
Ctns,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Cct5,NULL,NULL,NULL,NULL,NULL,NULL,20,20,17,NULL,NULL,NULL
Ces1g,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Adamts9,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,4,NULL,NULL,6
Aco2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL
Gpd2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Gtf2h3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Dynlt1b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,10,NULL,NULL
Aspa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,17,NULL,NULL,NULL
Atp6v1e1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Bbs4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Bckdha,NULL,7,10,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Blk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
C6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Cbx2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Chmp2b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Clec16a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Rcor1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,23,NULL,NULL,NULL
Sema5a,NULL,NULL,2,NULL,21,1,NULL,NULL,NULL,14,4,NULL
4-Sep,21,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,23
Sf3b1,NULL,8,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL
Sgcb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Mgat1,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Mta2,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc1a5,9,11,NULL,12,NULL,13,NULL,13,18,12,NULL,13
Slc27a1,NULL,10,11,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,12
Slc31a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Snrpd3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,22
Igj,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Ikzf3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Trim63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,23,NULL
Plk3,NULL,NULL,NULL,NULL,NULL,NULL,7,12,NULL,9,NULL,8
Ppif,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,16,NULL,NULL,NULL
Ppp1r9b,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prdm16,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL
Psmb2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Psmd5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL
Zmpste24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,16,NULL,NULL
Unc5b,NULL,NULL,NULL,4,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL
Parp2,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,1,NULL,NULL,NULL
Pdgfd,23,22,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL
Osmr,22,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Pde6g,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Plod1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,17,NULL,NULL
Psmb6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Ptprb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,18,NULL,NULL,NULL
Ptprg,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc7a9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Stam2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Stk39,NULL,NULL,20,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Rap2a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Rdh5,NULL,NULL,NULL,NULL,4,NULL,6,NULL,NULL,19,NULL,NULL
Rnf8,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
Serpinb9,NULL,NULL,NULL,NULL,22,NULL,NULL,22,3,NULL,23,NULL
Map4k4,21,2,3,NULL,NULL,NULL,NULL,NULL,0,4,NULL,1
Mpp5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Mus81,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,19,NULL,NULL,NULL
Tdp1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Impdh1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Jam2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,17,NULL,NULL
Klf9,8,9,9,11,NULL,10,NULL,NULL,5,12,9,NULL
