gene_symbol,acrophase
Ier3ip1,16.0
Ifi27l1,8.0
Ifi27l2a,16.0
Ifit2,8.0
Ifrd2,8.0
Ift140,8.0
Ift27,8.0
Ikbkb,8.0
Ikzf1,16.0
Il27ra,0.0
Ilf2,16.0
Ilf3,16.0
Ilk,16.0
Immp1l,16.0
Immp2l,8.0
Immt,8.0
Imp4,0.0
Impa2,8.0
Impdh2,8.0
Incenp,16.0
Ing5,0.0
Ino80c,16.0
Ino80e,8.0
Inpp5b,16.0
Inpp5f,0.0
Ints10,8.0
Ints2,16.0
Ints7,8.0
Ipo4,0.0
Ipo5,8.0
Ipo7,8.0
Ipo9,8.0
Ipp,8.0
Irf8,8.0
Isca2,16.0
Isy1,8.0
Isyna1,8.0
Itga2b,0.0
Itgb1,0.0
Itpa,8.0
Itpripl1,8.0
Ivd,16.0
Ivns1abp,8.0
Jagn1,8.0
Jmjd6,8.0
Kars,0.0
Katnb1,8.0
Kbtbd4,8.0
Kctd20,16.0
Kdelr2,8.0
Kdm2b,8.0
Keap1,8.0
Kif11,16.0
Kif15,16.0
Kif18a,16.0
Kif20a,16.0
Kif20b,16.0
Kif22,16.0
Kif23,16.0
Kif2c,16.0
Kif4,16.0
Kif5b,16.0
Klhdc3,0.0
Klhdc4,8.0
Klhl22,8.0
Klhl23,8.0
Klk8,8.0
Kpna1,8.0
Kpna2,16.0
Kpna3,16.0
Kpnb1,16.0
Krtcap2,8.0
L3mbtl2,16.0
Lage3,8.0
Lamtor1,8.0
Lamtor2,16.0
Lap3,0.0
Larp4,0.0
Larp7,16.0
Las1l,8.0
Lass5,0.0
Lbr,16.0
Ldha,0.0
Leo1,16.0
Lgals1,16.0
Lgals9,8.0
Lig1,8.0
Lims1,16.0
Lin37,16.0
Lin9,8.0
Litaf,8.0
Llph,8.0
Lman1,16.0
Lmf2,16.0
Lmnb1,8.0
Lmnb2,8.0
Lrdd,8.0
Lrrc40,16.0
Lrrc8c,8.0
Lrrcc1,16.0
Lsm10,0.0
Lsm12,8.0
Lsm2,8.0
Lsm3,8.0
Lsm4,16.0
Lsm5,16.0
Lsm6,8.0
Lsm7,8.0
Lsmd1,8.0
Lta4h,8.0
Ltc4s,0.0
Ltn1,8.0
Ltv1,0.0
Lyar,8.0
Lyn,0.0
Lyrm4,0.0
M6pr,8.0
Mad1l1,16.0
Mad2l1,16.0
Mad2l2,0.0
Magoh,8.0
Magt1,8.0
Mak16,8.0
Man1b1,16.0
Man2b1,16.0
Manf,0.0
Map4k1,8.0
Mapk1ip1l,0.0
Mapk6,8.0
Mapre1,16.0
Mapre2,8.0
Mars,8.0
Mars2,16.0
Mat2a,0.0
Matr3,16.0
Mavs,0.0
Mbd1,16.0
Mbd3,0.0
Mbd4,8.0
Mcm10,8.0
Mcm2,0.0
Mcm3,0.0
Mcm4,0.0
Mcm5,8.0
Mcm6,8.0
Mcm7,8.0
Mcmbp,0.0
Mcts1,8.0
Mdh2,8.0
Mdm1,16.0
Me2,8.0
Meaf6,8.0
Mecr,8.0
Med15,8.0
Med18,8.0
Med19,16.0
Med22,8.0
Med28,0.0
Med29,8.0
Med4,16.0
Med8,8.0
Melk,16.0
Memo1,8.0
Men1,8.0
Mesdc2,16.0
Metap1,8.0
Metap2,8.0
Mettl1,8.0
Mettl14,16.0
Mettl16,16.0
Mettl5,16.0
Mettl6,16.0
Mfge8,8.0
Mfsd10,8.0
Mgmt,8.0
Mif,8.0
Mif4gd,16.0
Miip,16.0
Mina,8.0
Minos1,8.0
Mir1966,16.0
Mir3112,16.0
Mir686,8.0
Mis18a,16.0
Mis18bp1,16.0
Mki67,16.0
Mki67ip,0.0
Mlec,8.0
Mlf1ip,8.0
Mlf2,8.0
Mlh1,16.0
Mlkl,8.0
Mmgt1,8.0
Mms19,8.0
Mnd1,8.0
Mns1,8.0
Moap1,8.0
Morf4l1,0.0
Morf4l2,8.0
Mospd3,8.0
Mpc1,16.0
Mpc2,8.0
Mphosph10,16.0
Mphosph6,8.0
Mphosph8,16.0
Mpi,16.0
Mpo,8.0
Mpp1,16.0
Mre11a,8.0
Mrfap1,0.0
Mrp63,8.0
Mrpl10,8.0
Mrpl11,8.0
Mrpl12,8.0
Mrpl13,8.0
Mrpl14,8.0
Mrpl15,8.0
Mrpl16,8.0
Mrpl17,8.0
Mrpl18,8.0
Mrpl19,8.0
Mrpl2,8.0
Mrpl20,8.0
Mrpl21,8.0
Mrpl22,16.0
Mrpl23,8.0
Mrpl24,16.0
Mrpl28,8.0
Mrpl30,16.0
Mrpl33,8.0
Mrpl34,8.0
Mrpl35,8.0
Mrpl36,8.0
Mrpl37,16.0
Mrpl4,16.0
Mrpl40,8.0
Mrpl41,0.0
Mrpl42,8.0
Mrpl44,8.0
Mrpl46,16.0
Mrpl47,16.0
Mrpl49,16.0
Mrpl50,8.0
Mrpl51,8.0
Mrpl52,16.0
Mrpl54,0.0
Mrpl55,8.0
Mrps10,8.0
Mrps11,8.0
Mrps12,8.0
Mrps14,16.0
Mrps15,8.0
Mrps16,8.0
Mrps17,8.0
Mrps18a,16.0
Mrps18b,8.0
Mrps18c,16.0
Mrps2,8.0
Mrps21,8.0
Mrps22,8.0
Mrps23,8.0
Mrps25,0.0
Mrps26,8.0
Mrps27,8.0
Mrps28,8.0
Mrps33,8.0
Mrps34,0.0
Mrps35,8.0
Mrps36,8.0
Mrps6,0.0
Mrps7,0.0
Mrps9,16.0
Mrto4,8.0
Msh2,8.0
Msh6,8.0
Msl3,16.0
Msra,16.0
Mtbp,8.0
Mtch2,8.0
Mtf2,0.0
Mtfp1,8.0
Mthfd1,8.0
Mthfd1l,8.0
Mthfd2,8.0
Mtpap,16.0
Mtpn,16.0
Mum1,8.0
Mut,8.0
Mutyh,8.0
Mybbp1a,8.0
Myc,8.0
